Column1,Column3,Column4,Column5,Column6,Column7,Column8
3/66/6,225.201,-2.763,5.884,-8.203,-3.827,2.8
3/66/7,336.333,-4.195,9.182,-12.799,-5.813,2.8
3/66/8,240.471,-3.043,6.658,-9.284,-4.218,2.8
3/66/9,229.564,-2.843,6.105,-8.512,-3.939,2.8
3/66/13,221.713,-5.57,6.259,-8.717,-7.744,2.8
3/66/14,222.146,0.165,5.179,-7.226,0.258,2.8
3/99/6,218.901,-2.763,5.884,8.273,3.909,2.8
3/99/7,327.828,-4.195,9.182,12.911,5.933,2.8
3/99/8,234.171,-3.043,6.658,9.358,4.304,2.8
3/99/9,223.264,-2.843,6.105,8.583,4.022,2.8
3/99/13,215.413,-5.57,6.259,8.808,7.852,2.8
3/99/14,215.846,0.165,5.179,7.274,-0.204,2.8
7/64/6,398.525,4.585,-12.802,17.769,6.274,2.8
7/64/7,605.451,7.087,-19.685,27.333,9.707,2.8
7/64/8,430.116,5.142,-14.266,19.818,7.054,2.8
7/64/9,407.551,4.744,-13.22,18.355,6.497,2.8
7/64/13,390.648,3.174,-11.276,15.693,4.415,2.8
7/64/14,392.863,5.757,-13.7,18.968,7.799,2.8
7/97/6,387.325,4.585,-12.802,-18.076,-6.563,2.8
7/97/7,590.331,7.087,-19.685,-27.784,-10.136,2.8
7/97/8,418.916,5.142,-14.266,-20.128,-7.344,2.8
7/97/9,396.351,4.744,-13.22,-18.662,-6.786,2.8
7/97/13,379.448,3.174,-11.276,-15.88,-4.471,2.8
7/97/14,381.663,5.757,-13.7,-19.391,-8.32,2.8
10/63/6,303.759,-10.79,-2.523,3.552,-14.688,2.8
10/63/7,462.486,-16.797,-3.915,5.512,-22.89,2.8
10/63/8,329.273,-12.146,-2.832,3.989,-16.59,2.8
10/63/9,311.049,-11.177,-2.611,3.677,-15.231,2.8
10/63/13,298.5,-10.51,-1.128,1.656,-14.282,2.8
10/63/14,298.084,-10.488,-3.786,5.262,-14.278,2.8
10/96/6,292.559,-10.79,-2.523,-3.512,15.523,2.8
10/96/7,447.366,-16.797,-3.915,-5.45,24.142,2.8
10/96/8,318.073,-12.146,-2.832,-3.941,17.42,2.8
10/96/9,299.849,-11.177,-2.611,-3.635,16.065,2.8
10/96/13,287.3,-10.51,-1.128,-1.502,15.145,2.8
10/96/14,286.884,-10.488,-3.786,-5.338,15.088,2.8
12/62/6,465.904,6.07,15.216,-20.981,8.454,2.8
12/62/7,708.573,9.321,23.459,-32.36,12.984,2.8
12/62/8,504.191,6.719,17.001,-23.465,9.358,2.8
12/62/9,476.843,6.255,15.726,-21.691,8.713,2.8
12/62/13,458.769,7.12,16.034,-22.066,9.831,2.8
12/62/14,456.631,4.741,13.635,-18.833,6.689,2.8
12/95/6,454.704,6.07,15.216,21.625,-8.541,2.8
12/95/7,693.453,9.321,23.459,33.325,-13.115,2.8
12/95/8,492.991,6.719,17.001,24.137,-9.454,2.8
12/95/9,465.643,6.255,15.726,22.342,-8.802,2.8
12/95/13,447.569,7.12,16.034,22.828,-10.106,2.8
12/95/14,445.431,4.741,13.635,19.344,-6.585,2.8
16/60/6,268.064,-0.505,-12.332,17.216,-0.77,2.8
16/60/7,402.302,-0.76,-19.097,26.659,-1.159,2.8
16/60/8,287.801,-0.592,-13.822,19.299,-0.898,2.8
16/60/9,273.703,-0.53,-12.758,17.811,-0.807,2.8
16/60/13,264.33,2.552,-11.532,16.108,3.501,2.8
16/60/14,263.339,-3.526,-12.494,17.43,-4.987,2.8
16/93/6,261.764,-0.505,-12.332,-17.314,0.645,2.8
16/93/7,393.797,-0.76,-19.097,-26.813,0.969,2.8
16/93/8,281.501,-0.592,-13.822,-19.402,0.76,2.8
16/93/9,267.403,-0.53,-12.758,-17.911,0.678,2.8
16/93/13,258.03,2.552,-11.532,-16.182,-3.645,2.8
16/93/14,257.039,-3.526,-12.494,-17.552,4.886,2.8
18/59/6,122.541,1.958,2.529,-3.469,2.606,2.8
18/59/7,179.859,3.031,3.869,-5.306,4.038,2.8
18/59/8,129.533,2.207,2.775,-3.808,2.946,2.8
18/59/9,124.539,2.029,2.599,-3.566,2.703,2.8
18/59/13,120.861,-0.266,4.305,-5.93,-0.453,2.8
18/59/14,121.225,4.075,0.647,-0.863,5.52,2.8
18/92/6,116.241,1.958,2.529,3.612,-2.876,2.8
18/92/7,171.354,3.031,3.869,5.528,-4.447,2.8
18/92/8,123.233,2.207,2.775,3.962,-3.235,2.8
18/92/9,118.239,2.029,2.599,3.712,-2.979,2.8
18/92/13,114.561,-0.266,4.305,6.125,0.292,2.8
18/92/14,114.925,4.075,0.647,0.948,-5.891,2.8
20/58/6,226.032,7.848,0.563,-0.586,10.89,2.8
20/58/7,339.049,12.344,0.881,-0.925,17.135,2.8
20/58/8,241.932,8.957,0.622,-0.65,12.442,2.8
20/58/9,230.575,8.165,0.58,-0.604,11.334,2.8
20/58/13,220.131,6.941,2.763,-3.657,9.678,2.8
20/58/14,225.118,8.28,-1.662,2.513,11.437,2.8
20/91/6,219.732,7.848,0.563,0.991,-11.084,2.8
20/91/7,330.544,12.344,0.881,1.543,-17.428,2.8
20/91/8,235.632,8.957,0.622,1.092,-12.636,2.8
20/91/9,224.275,8.165,0.58,1.02,-11.527,2.8
20/91/13,213.831,6.941,2.763,4.081,-9.756,2.8
20/91/14,218.818,8.28,-1.662,-2.141,-11.747,2.8
22/57/6,336.818,6.133,4.467,-6.482,8.519,2.8
22/57/7,507.472,9.721,6.729,-9.764,13.507,2.8
22/57/8,362.842,7.052,4.831,-7.011,9.81,2.8
22/57/9,344.253,6.396,4.571,-6.633,8.888,2.8
22/57/13,331.553,5.916,6.57,-9.399,8.214,2.8
22/57/14,330.929,5.957,2.209,-3.338,8.27,2.8
22/90/6,330.518,6.133,4.467,6.027,-8.655,2.8
22/90/7,498.967,9.721,6.729,9.076,-13.713,2.8
22/90/8,356.542,7.052,4.831,6.516,-9.935,2.8
22/90/9,337.953,6.396,4.571,6.167,-9.02,2.8
22/90/13,325.253,5.916,6.57,8.997,-8.351,2.8
22/90/14,324.629,5.957,2.209,2.848,-8.41,2.8
24/56/6,162.991,7.256,-0.792,1.282,9.976,2.8
24/56/7,244.191,11.502,-1.242,2,15.822,2.8
24/56/8,173.159,8.354,-0.885,1.428,11.503,2.8
24/56/9,165.896,7.57,-0.818,1.324,10.412,2.8
