Bar/Node/Case,FX (kN),FY (kN),FZ (kN),MX (kNm),MY (kNm),MZ (kNm)
 1/ 77/ 6 (C),0,0,-34.95,-19.85,68.08,0
 1/ 77/ 6 (C),0,0,-34.95,-19.85,68.08,0
 1/ 77/ 6 (C),0,0,-34.95,-19.85,68.08,0
 1/ 77/ 6 (C),0,0,-34.95,-19.85,68.08,0
 1/ 77/ 6 (C),0,0,-34.95,-19.85,68.08,0
 1/ 78/ 6 (C),0,0,-55.54,-19.85,23.17,0
 1/ 77/ 6 (C),0,0,-34.95,-19.85,68.08,0
 1/ 77/ 6 (C),0,0,-34.95,-19.85,68.08,0
 1/ 77/ 6 (C),0,0,-34.95,-19.85,68.08,0
 1/ 78/ 6 (C),0,0,-55.54,-19.85,23.17,0
 1/ 78/ 6 (C),0,0,-55.54,-19.85,23.17,0
 1/ 77/ 6 (C),0,0,-34.95,-19.85,68.08,0
 2/ 98/ 6 (C),0,0,9.77,3.77,44.51,0
 2/ 98/ 6 (C),0,0,9.77,3.77,44.51,0
 2/ 98/ 6 (C),0,0,9.77,3.77,44.51,0
 2/ 98/ 6 (C),0,0,9.77,3.77,44.51,0
 2/ 98/ 6 (C),0,0,9.77,3.77,44.51,0
 2/ 99/ 6 (C),0,0,-71.97,3.77,-51.54,0
 2/ 98/ 6 (C),0,0,9.77,3.77,44.51,0
 2/ 98/ 6 (C),0,0,9.77,3.77,44.51,0
 2/ 98/ 6 (C),0,0,9.77,3.77,44.51,0
 2/ 99/ 6 (C),0,0,-71.97,3.77,-51.54,0
 2/ 99/ 6 (C),0,0,-71.97,3.77,-51.54,0
 2/ 98/ 6 (C),0,0,9.77,3.77,44.51,0
 3/ 92/ 6 (C),0,0,30.94,3.53,-9.94,0
 3/ 92/ 6 (C),0,0,30.94,3.53,-9.94,0
 3/ 92/ 6 (C),0,0,30.94,3.53,-9.94,0
 3/ 92/ 6 (C),0,0,30.94,3.53,-9.94,0
 3/ 92/ 6 (C),0,0,30.94,3.53,-9.94,0
 3/ 99/ 6 (C),0,0,-42.85,3.53,-32.12,0
 3/ 92/ 6 (C),0,0,30.94,3.53,-9.94,0
 3/ 92/ 6 (C),0,0,30.94,3.53,-9.94,0
 3/ 92/ 6 (C),0,0,30.94,3.53,-9.94,0
 3/ 99/ 6 (C),0,0,-42.85,3.53,-32.12,0
 3/ 99/ 6 (C),0,0,-42.85,3.53,-32.12,0
 3/ 92/ 6 (C),0,0,30.94,3.53,-9.94,0
 4/ 66/ 6 (C),409.73,-9.73,18.49,-0.51,-25.6,-13.19
 4/ 99/ 6 (C),394.61,-9.73,18.49,-0.51,26.16,14.07
 4/ 66/ 6 (C),409.73,-9.73,18.49,-0.51,-25.6,-13.19
 4/ 66/ 6 (C),409.73,-9.73,18.49,-0.51,-25.6,-13.19
 4/ 66/ 6 (C),409.73,-9.73,18.49,-0.51,-25.6,-13.19
 4/ 66/ 6 (C),409.73,-9.73,18.49,-0.51,-25.6,-13.19
 4/ 66/ 6 (C),409.73,-9.73,18.49,-0.51,-25.6,-13.19
 4/ 66/ 6 (C),409.73,-9.73,18.49,-0.51,-25.6,-13.19
 4/ 99/ 6 (C),394.61,-9.73,18.49,-0.51,26.16,14.07
 4/ 66/ 6 (C),409.73,-9.73,18.49,-0.51,-25.6,-13.19
 4/ 99/ 6 (C),394.61,-9.73,18.49,-0.51,26.16,14.07
 4/ 66/ 6 (C),409.73,-9.73,18.49,-0.51,-25.6,-13.19
 5/ 97/ 6 (C),0,0,100.53,-16.23,-62.37,0
 5/ 97/ 6 (C),0,0,100.53,-16.23,-62.37,0
 5/ 97/ 6 (C),0,0,100.53,-16.23,-62.37,0
 5/ 97/ 6 (C),0,0,100.53,-16.23,-62.37,0
 5/ 97/ 6 (C),0,0,100.53,-16.23,-62.37,0
 5/ 98/ 6 (C),0,0,65,-16.23,49,0
 5/ 97/ 6 (C),0,0,100.53,-16.23,-62.37,0
 5/ 97/ 6 (C),0,0,100.53,-16.23,-62.37,0
 5/ 98/ 6 (C),0,0,65,-16.23,49,0
 5/ 97/ 6 (C),0,0,100.53,-16.23,-62.37,0
 5/ 98/ 6 (C),0,0,65,-16.23,49,0
 5/ 97/ 6 (C),0,0,100.53,-16.23,-62.37,0
 6/ 91/ 6 (C),0,0,70.59,-4.49,-48.61,0
 6/ 91/ 6 (C),0,0,70.59,-4.49,-48.61,0
 6/ 91/ 6 (C),0,0,70.59,-4.49,-48.61,0
 6/ 91/ 6 (C),0,0,70.59,-4.49,-48.61,0
 6/ 91/ 6 (C),0,0,70.59,-4.49,-48.61,0
 6/ 98/ 6 (C),0,0,-55.23,-4.49,-20,0
 6/ 91/ 6 (C),0,0,70.59,-4.49,-48.61,0
 6/ 91/ 6 (C),0,0,70.59,-4.49,-48.61,0
 6/ 98/ 6 (C),0,0,-55.23,-4.49,-20,0
 6/ 91/ 6 (C),0,0,70.59,-4.49,-48.61,0
 6/ 98/ 6 (C),0,0,-55.23,-4.49,-20,0
 6/ 91/ 6 (C),0,0,70.59,-4.49,-48.61,0
 7/ 96/ 6 (C),0,0,55.36,7.8,-35.93,0
 7/ 96/ 6 (C),0,0,55.36,7.8,-35.93,0
 7/ 96/ 6 (C),0,0,55.36,7.8,-35.93,0
 7/ 96/ 6 (C),0,0,55.36,7.8,-35.93,0
 7/ 96/ 6 (C),0,0,55.36,7.8,-35.93,0
 7/ 97/ 6 (C),0,0,-44.67,7.8,-22.26,0
 7/ 96/ 6 (C),0,0,55.36,7.8,-35.93,0
 7/ 96/ 6 (C),0,0,55.36,7.8,-35.93,0
 7/ 97/ 6 (C),0,0,-44.67,7.8,-22.26,0
 7/ 96/ 6 (C),0,0,55.36,7.8,-35.93,0
 7/ 97/ 6 (C),0,0,-44.67,7.8,-22.26,0
 7/ 96/ 6 (C),0,0,55.36,7.8,-35.93,0
 8/ 64/ 6 (C),658.93,6.38,-16.79,-0.51,23.47,8.76
 8/ 97/ 6 (C),643.81,6.38,-16.79,-0.51,-23.54,-9.11
 8/ 64/ 6 (C),658.93,6.38,-16.79,-0.51,23.47,8.76
 8/ 64/ 6 (C),658.93,6.38,-16.79,-0.51,23.47,8.76
 8/ 64/ 6 (C),658.93,6.38,-16.79,-0.51,23.47,8.76
 8/ 64/ 6 (C),658.93,6.38,-16.79,-0.51,23.47,8.76
 8/ 64/ 6 (C),658.93,6.38,-16.79,-0.51,23.47,8.76
 8/ 64/ 6 (C),658.93,6.38,-16.79,-0.51,23.47,8.76
