Bar/Node/Case,FX (kN),FY (kN),FZ (kN),MY (kNm),MZ (kNm),Length (m)
 1/ 77/ 6,0,0,-22.11,62.61,0,1
 1/ 78/ 6,0,0,-38.9,32.44,0,1
 2/ 98/ 6,0,0,11.32,38.75,0,2.775
 2/ 99/ 6,0,0,-59.87,-38.35,0,2.775
 3/ 92/ 6,0,0,23.73,-4.97,0,3.725
 3/ 99/ 6,0,0,-35.92,-27.68,0,3.725
 4/ 66/ 6,322.29,-7.8,13.2,-18.18,-11.22,2.8
 4/ 99/ 6,316.38,-7.8,13.2,18.34,11.66,2.8
 5/ 97/ 6,0,0,91.4,-59.72,0,1.35
 5/ 98/ 6,0,0,61,42.79,0,1.35
 6/ 91/ 6,0,0,62.01,-39.54,0,3.725
 6/ 98/ 6,0,0,-49.67,-16.57,0,3.725
 7/ 96/ 6,0,0,41.43,-21.2,0,2.5
 7/ 97/ 6,0,0,-49.1,-30.5,0,2.5
 8/ 64/ 6,562.04,0.91,-11.99,17.16,0.63,2.8
 8/ 97/ 6,556.14,0.91,-11.99,-17.17,-0.6,2.8
 9/ 95/ 6,0,0,58.23,-48.32,0,2.35
 9/ 96/ 6,0,0,-23.99,-7.74,0,2.35
 10/ 90/ 6,0,0,51.53,-22.64,0,3.725
 10/ 96/ 6,0,0,-63.54,-45,0,3.725
 11/ 63/ 6,390.45,-11.54,-3.54,5.11,-16.41,2.8
 11/ 96/ 6,384.54,-11.54,-3.54,-5.33,16.63,2.8
 12/ 94/ 6,0,0,-87.42,47.41,0,1.35
 12/ 95/ 6,0,0,-116.34,-89.24,0,1.35
 13/ 62/ 6,743.56,6.6,21.83,-29.81,8.77,2.8
 13/ 95/ 6,735.06,6.6,21.83,30.31,-8.72,2.8
 14/ 93/ 6,0,0,73.99,-59.92,0,3.675
 14/ 94/ 6,0,0,-26.95,41.1,0,3.675
 15/ 89/ 6,0,0,54.59,-17.34,0,3.725
 15/ 94/ 6,0,0,-60.47,-28.3,0,3.725
 16/ 88/ 6,0,0,30.24,-16.14,0,3.725
 16/ 93/ 6,0,0,-32.78,-20.87,0,3.725
 17/ 60/ 6,354.54,-4.33,-22.78,31.78,-6.15,2.8
 17/ 93/ 6,348.63,-4.33,-22.78,-32.47,6.08,2.8
 18/ 91/ 6,0,0,19.7,-9.94,0,2.775
 18/ 92/ 6,0,0,-17.38,-6.73,0,2.775
 19/ 59/ 6,138.73,2.71,3.55,-4.92,3.4,2.8
 19/ 92/ 6,132.82,2.71,3.55,4.95,-3.76,2.8
 20/ 90/ 6,0,0,40.99,-44.28,0,3.85
 20/ 91/ 6,0,0,-25.91,-15.26,0,3.85
 21/ 58/ 6,328.02,12.62,-0.05,0.48,17.1,2.8
 21/ 91/ 6,322.11,12.62,-0.05,0.17,-17.36,2.8
 22/ 89/ 6,0,0,1.66,35.14,0,3.7
 22/ 90/ 6,0,0,-60.6,-73.89,0,3.7
 23/ 57/ 6,463.36,8.62,10.81,-15.85,11.58,2.8
 23/ 90/ 6,457.45,8.62,10.81,14.14,-11.7,2.8
