"Bar/Node/Case,FX (kN),FY (kN),FZ (kN),MY (kNm),MZ (kNm),Length (m)"
" 1/ 98/ 6 (C),0.000,-0.000,11.873,23.439,-0.000,2.775"
" 1/ 98/ 7 (C),0.000,-0.000,18.233,36.532,-0.000,2.775"
" 1/ 98/ 8 (C),0.000,-0.000,13.289,26.510,-0.000,2.775"
" 1/ 98/ 9 (C),0.000,-0.000,12.278,24.317,-0.000,2.775"
" 1/ 98/ 13 (C),0.000,-0.000,10.787,23.567,-0.000,2.775"
" 1/ 98/ 14 (C),-0.000,0.000,12.353,21.996,0.000,2.775"
" 1/ 99/ 6 (C),0.000,-0.000,-34.673,-14.106,0.000,2.775"
" 1/ 99/ 7 (C),0.000,-0.000,-53.803,-22.221,0.000,2.775"
" 1/ 99/ 8 (C),0.000,-0.000,-39.138,-16.175,0.000,2.775"
" 1/ 99/ 9 (C),0.000,-0.000,-35.949,-14.697,0.000,2.775"
" 1/ 99/ 13 (C),0.000,-0.000,-34.500,-15.050,0.000,2.775"
" 1/ 99/ 14 (C),-0.000,0.000,-32.933,-12.274,-0.000,2.775"
" 2/ 92/ 6 (C),-0.000,-0.000,19.581,-2.671,-0.000,3.725"
" 2/ 92/ 7 (C),-0.000,-0.000,29.426,-3.993,-0.000,3.725"
" 2/ 92/ 8 (C),-0.000,-0.000,21.481,-2.934,-0.000,3.725"
" 2/ 92/ 9 (C),-0.000,-0.000,20.124,-2.746,-0.000,3.725"
" 2/ 92/ 13 (C),-0.000,-0.000,16.524,3.268,-0.000,3.725"
" 2/ 92/ 14 (C),0.000,0.000,21.825,-8.498,0.000,3.725"
" 2/ 99/ 6 (C),-0.000,-0.000,-26.695,-15.920,0.000,3.725"
" 2/ 99/ 7 (C),-0.000,-0.000,-40.150,-23.965,0.000,3.725"
" 2/ 99/ 8 (C),-0.000,-0.000,-29.336,-17.565,0.000,3.725"
" 2/ 99/ 9 (C),-0.000,-0.000,-27.450,-16.390,0.000,3.725"
" 2/ 99/ 13 (C),-0.000,-0.000,-28.779,-19.556,0.000,3.725"
" 2/ 99/ 14 (C),0.000,0.000,-23.479,-11.579,-0.000,3.725"
" 3/ 66/ 6 (C),225.201,-2.763,5.884,-8.203,-3.827,2.800"
" 3/ 66/ 7 (C),336.333,-4.195,9.182,-12.799,-5.813,2.800"
" 3/ 66/ 8 (C),240.471,-3.043,6.658,-9.284,-4.218,2.800"
" 3/ 66/ 9 (C),229.564,-2.843,6.105,-8.512,-3.939,2.800"
" 3/ 66/ 13 (C),221.691,-5.859,6.313,-8.792,-8.147,2.800"
" 3/ 66/ 14 (C),222.168,0.453,5.124,-7.151,0.661,2.800"
" 3/ 99/ 6 (C),218.901,-2.763,5.884,8.273,3.909,2.800"
" 3/ 99/ 7 (C),327.828,-4.195,9.182,12.911,5.933,2.800"
" 3/ 99/ 8 (C),234.171,-3.043,6.658,9.358,4.304,2.800"
" 3/ 99/ 9 (C),223.264,-2.843,6.105,8.583,4.022,2.800"
" 3/ 99/ 13 (C),215.391,-5.859,6.313,8.885,8.258,2.800"
" 3/ 99/ 14 (C),215.868,0.453,5.124,7.197,-0.609,2.800"
" 4/ 97/ 6 (C),0.000,0.000,62.197,-46.019,0.000,1.350"
" 4/ 97/ 7 (C),-0.000,0.000,96.434,-71.273,0.000,1.350"
" 4/ 97/ 8 (C),-0.000,-0.000,70.156,-51.908,-0.000,1.350"
" 4/ 97/ 9 (C),-0.000,0.000,64.471,-47.702,0.000,1.350"
" 4/ 97/ 13 (C),-0.000,-0.000,60.106,-43.479,-0.000,1.350"
" 4/ 97/ 14 (C),0.000,0.000,60.877,-46.035,0.000,1.350"
" 4/ 98/ 6 (C),0.000,0.000,42.120,24.174,-0.000,1.350"
" 4/ 98/ 7 (C),-0.000,0.000,65.472,37.662,-0.000,1.350"
" 4/ 98/ 8 (C),-0.000,-0.000,47.613,27.331,-0.000,1.350"
" 4/ 98/ 9 (C),-0.000,0.000,43.689,25.076,-0.000,1.350"
" 4/ 98/ 13 (C),-0.000,-0.000,40.557,24.255,0.000,1.350"
" 4/ 98/ 14 (C),0.000,0.000,41.328,22.739,-0.000,1.350"
" 5/ 91/ 6 (C),0.000,-0.000,38.284,-26.536,-0.000,3.725"
" 5/ 91/ 7 (C),0.000,-0.000,59.977,-41.793,-0.000,3.725"
" 5/ 91/ 8 (C),0.000,-0.000,43.604,-30.401,-0.000,3.725"
" 5/ 91/ 9 (C),0.000,-0.000,39.804,-27.640,-0.000,3.725"
" 5/ 91/ 13 (C),0.000,-0.000,36.746,-24.646,-0.000,3.725"
" 5/ 91/ 14 (C),0.000,0.000,37.542,-26.769,0.000,3.725"
" 5/ 98/ 6 (C),0.000,-0.000,-30.247,-11.566,0.000,3.725"
" 5/ 98/ 7 (C),0.000,-0.000,-47.239,-18.069,0.000,3.725"
" 5/ 98/ 8 (C),0.000,-0.000,-34.324,-13.117,0.000,3.725"
" 5/ 98/ 9 (C),0.000,-0.000,-31.412,-12.009,0.000,3.725"
" 5/ 98/ 13 (C),0.000,-0.000,-29.771,-11.655,0.000,3.725"
" 5/ 98/ 14 (C),0.000,0.000,-28.975,-10.813,-0.000,3.725"
" 6/ 96/ 6 (C),0.000,-0.000,30.537,-17.922,-0.000,2.500"
" 6/ 96/ 7 (C),0.000,-0.000,47.579,-27.732,-0.000,2.500"
" 6/ 96/ 8 (C),0.000,-0.000,34.462,-19.994,-0.000,2.500"
" 6/ 96/ 9 (C),0.000,-0.000,31.658,-18.514,-0.000,2.500"
" 6/ 96/ 13 (C),0.000,-0.000,28.293,-15.757,-0.000,2.500"
