Bar/Node/Case,FX (kN),FY (kN),FZ (kN),MY (kNm),MZ (kNm),Length (m)
1/98/6,0,0,11.873,23.439,0,2.775
1/98/7,0,0,18.233,36.532,0,2.775
1/98/8,0,0,13.289,26.51,0,2.775
1/98/9,0,0,12.278,24.317,0,2.775
1/98/13,0,0,10.858,23.495,0,2.775
1/98/14,0,0,12.281,22.068,0,2.775
1/99/6,0,0,-34.673,-14.106,0,2.775
1/99/7,0,0,-53.803,-22.221,0,2.775
1/99/8,0,0,-39.138,-16.175,0,2.775
1/99/9,0,0,-35.949,-14.697,0,2.775
1/99/13,0,0,-34.428,-14.924,0,2.775
1/99/14,0,0,-33.005,-12.401,0,2.775
2/92/6,0,0,19.581,-2.671,0,3.725
2/92/7,0,0,29.426,-3.993,0,3.725
2/92/8,0,0,21.481,-2.934,0,3.725
2/92/9,0,0,20.124,-2.746,0,3.725
2/92/13,0,0,16.767,2.731,0,3.725
2/92/14,0,0,21.582,-7.96,0,3.725
2/99/6,0,0,-26.695,-15.92,0,3.725
2/99/7,0,0,-40.15,-23.965,0,3.725
2/99/8,0,0,-29.336,-17.565,0,3.725
2/99/9,0,0,-27.45,-16.39,0,3.725
2/99/13,0,0,-28.537,-19.191,0,3.725
2/99/14,0,0,-23.721,-11.943,0,3.725
4/97/6,0,0,62.197,-46.019,0,1.35
4/97/7,0,0,96.434,-71.273,0,1.35
4/97/8,0,0,70.156,-51.908,0,1.35
4/97/9,0,0,64.471,-47.702,0,1.35
4/97/13,0,0,60.142,-43.596,0,1.35
4/97/14,0,0,60.842,-45.919,0,1.35
4/98/6,0,0,42.12,24.174,0,1.35
4/98/7,0,0,65.472,37.662,0,1.35
4/98/8,0,0,47.613,27.331,0,1.35
4/98/9,0,0,43.689,25.076,0,1.35
4/98/13,0,0,40.593,24.186,0,1.35
4/98/14,0,0,41.293,22.808,0,1.35
5/91/6,0,0,38.284,-26.536,0,3.725
5/91/7,0,0,59.977,-41.793,0,3.725
5/91/8,0,0,43.604,-30.401,0,3.725
5/91/9,0,0,39.804,-27.64,0,3.725
5/91/13,0,0,36.783,-24.743,0,3.725
5/91/14,0,0,37.506,-26.672,0,3.725
5/98/6,0,0,-30.247,-11.566,0,3.725
