Bar/Node/Case,FX (kN),FY (kN),FZ (kN),MX (kNm),MZ (kNm),Length (m)
 1/ 77/ 6 (C),0,0,-34.95,-19.85,0,1
 1/ 77/ 7 (C),0,0,-21.92,-12.96,0,1
 1/ 78/ 6 (C),0,0,-55.54,-19.85,0,1
 1/ 78/ 7 (C),0,0,-35.32,-12.96,0,1
 2/ 98/ 6 (C),0,0,9.77,3.77,0,2.775
 2/ 98/ 7 (C),0,0,6.17,2.37,0,2.775
 2/ 99/ 6 (C),0,0,-71.97,3.77,0,2.775
 2/ 99/ 7 (C),0,0,-45.92,2.37,0,2.775
 3/ 92/ 6 (C),0,0,30.94,3.53,0,3.725
 3/ 92/ 7 (C),0,0,20.13,2.24,0,3.725
 3/ 99/ 6 (C),0,0,-42.85,3.53,0,3.725
 3/ 99/ 7 (C),0,0,-28,2.24,0,3.725
 4/ 66/ 6 (C),409.73,-9.73,18.49,-0.51,-13.19,2.8
 4/ 66/ 7 (C),273.2,-6.29,11.77,-0.33,-8.52,2.8
 4/ 99/ 6 (C),394.61,-9.73,18.49,-0.51,14.07,2.8
 4/ 99/ 7 (C),262,-6.29,11.77,-0.33,9.1,2.8
 5/ 97/ 6 (C),0,0,100.53,-16.23,0,1.35
 5/ 97/ 7 (C),0,0,64.06,-10.34,0,1.35
 5/ 98/ 6 (C),0,0,65,-16.23,0,1.35
 5/ 98/ 7 (C),0,0,41.28,-10.34,0,1.35
 6/ 91/ 6 (C),0,0,70.59,-4.49,0,3.725
 6/ 91/ 7 (C),0,0,44.6,-2.86,0,3.725
 6/ 98/ 6 (C),0,0,-55.23,-4.49,0,3.725
 6/ 98/ 7 (C),0,0,-35.11,-2.86,0,3.725
 7/ 96/ 6 (C),0,0,55.36,7.8,0,2.5
 7/ 96/ 7 (C),0,0,35.14,5,0,2.5
 7/ 97/ 6 (C),0,0,-44.67,7.8,0,2.5
 7/ 97/ 7 (C),0,0,-27.81,5,0,2.5
 8/ 64/ 6 (C),658.93,6.38,-16.79,-0.51,8.76,2.8
 8/ 64/ 7 (C),431.55,4.1,-10.85,-0.33,5.63,2.8
 8/ 97/ 6 (C),643.81,6.38,-16.79,-0.51,-9.11,2.8
 8/ 97/ 7 (C),420.35,4.1,-10.85,-0.33,-5.86,2.8
 9/ 95/ 6 (C),0,0,50.49,-5.87,0,2.35
 9/ 95/ 7 (C),0,0,31.64,-3.74,0,2.35
 9/ 96/ 6 (C),0,0,-40.66,-5.87,0,2.35
 9/ 96/ 7 (C),0,0,-25.78,-3.74,0,2.35
 10/ 90/ 6 (C),0,0,57.82,-2.59,0,3.725
 10/ 90/ 7 (C),0,0,36.36,-1.7,0,3.725
 10/ 96/ 6 (C),0,0,-71.39,-2.59,0,3.725
 10/ 96/ 7 (C),0,0,-45.4,-1.7,0,3.725
 11/ 63/ 6 (C),538.53,-13.75,-2.52,-0.51,-19.1,2.8
 11/ 63/ 7 (C),351.55,-8.76,-1.6,-0.33,-12.16,2.8
 11/ 96/ 6 (C),523.41,-13.75,-2.52,-0.51,19.4,2.8
 11/ 96/ 7 (C),340.35,-8.76,-1.6,-0.33,12.37,2.8
 12/ 94/ 6 (C),0,0,-92.31,28.75,0,1.35
 12/ 94/ 7 (C),0,0,-58.72,18.59,0,1.35
 12/ 95/ 6 (C),0,0,-126.7,28.75,0,1.35
 12/ 95/ 7 (C),0,0,-80.8,18.59,0,1.35
 13/ 62/ 6 (C),778.15,4.59,22.61,-0.51,6.46,2.8
 13/ 62/ 7 (C),508.9,2.94,14.56,-0.33,4.14,2.8
 13/ 95/ 6 (C),763.03,4.59,22.61,-0.51,-6.39,2.8
 13/ 95/ 7 (C),497.7,2.94,14.56,-0.33,-4.1,2.8
 14/ 93/ 6 (C),0,0,90.93,-7.5,0,3.675
 14/ 93/ 7 (C),0,0,57.98,-4.86,0,3.675
 14/ 94/ 6 (C),0,0,-24.89,-7.5,0,3.675
 14/ 94/ 7 (C),0,0,-15.62,-4.86,0,3.675
 15/ 89/ 6 (C),0,0,61.78,8.19,0,3.725
 15/ 89/ 7 (C),0,0,38.65,5.2,0,3.725
 15/ 94/ 6 (C),0,0,-67.42,8.19,0,3.725
 15/ 94/ 7 (C),0,0,-43.1,5.2,0,3.725
 16/ 88/ 6 (C),0,0,38.29,0.22,0,3.725
 16/ 88/ 7 (C),0,0,24.85,0.23,0,3.725
 16/ 93/ 6 (C),0,0,-38.87,0.22,0,3.725
 16/ 93/ 7 (C),0,0,-25.34,0.23,0,3.725
 17/ 60/ 6 (C),476.73,-4.38,-31.55,-0.51,-6.25,2.8
 17/ 60/ 7 (C),316.1,-2.81,-20.16,-0.33,-4,2.8
 17/ 93/ 6 (C),461.61,-4.38,-31.55,-0.51,6.03,2.8
 17/ 93/ 7 (C),304.9,-2.81,-20.16,-0.33,3.86,2.8
 18/ 91/ 6 (C),0,0,20.74,-2.65,0,2.775
 18/ 91/ 7 (C),0,0,13.72,-1.63,0,2.775
 18/ 92/ 6 (C),0,0,-26.87,-2.65,0,2.775
 18/ 92/ 7 (C),0,0,-17.67,-1.63,0,2.775
 19/ 59/ 6 (C),216.32,4.06,6.69,-0.51,5.32,2.8
 19/ 59/ 7 (C),146.88,2.55,4.33,-0.33,3.33,2.8
 19/ 92/ 6 (C),201.2,4.06,6.69,-0.51,-6.04,2.8
 19/ 92/ 7 (C),135.68,2.55,4.33,-0.33,-3.81,2.8
 20/ 90/ 6 (C),0,0,47.4,2.02,0,3.85
