Bar/Node/Case,FX (kN),FY (kN),FZ (kN),MY (kNm),MZ (kNm),Length (m)
 1/ 1/ 6,798.96,11.43,-18.37,17.2,10.7,2.8
 1/ 17/ 6,783.84,11.43,-18.37,-34.24,-21.3,2.8
 2/ 2/ 6,1478.49,19.42,1.27,-1.19,18.23,2.8
 2/ 18/ 6,1463.37,19.42,1.27,2.36,-36.14,2.8
 3/ 3/ 6,1478.49,19.42,-1.27,1.19,18.23,2.8
 3/ 19/ 6,1463.37,19.42,-1.27,-2.36,-36.14,2.8
 4/ 4/ 6,798.96,11.43,18.37,-17.2,10.7,2.8
 4/ 20/ 6,783.84,11.43,18.37,34.24,-21.3,2.8
 5/ 5/ 6,1418.55,-0.28,-31.02,29.12,-0.26,2.8
 5/ 21/ 6,1403.43,-0.28,-31.02,-57.75,0.52,2.8
 6/ 6/ 6,2638.57,-0.24,1.92,-1.81,-0.23,2.8
 6/ 22/ 6,2623.45,-0.24,1.92,3.56,0.44,2.8
 7/ 7/ 6,2638.57,-0.24,-1.92,1.81,-0.23,2.8
 7/ 23/ 6,2623.45,-0.24,-1.92,-3.56,0.44,2.8
 8/ 8/ 6,1418.55,-0.28,31.02,-29.12,-0.26,2.8
 8/ 24/ 6,1403.43,-0.28,31.02,57.75,0.52,2.8
 9/ 9/ 6,1418.55,0.28,-31.02,29.12,0.26,2.8
 9/ 25/ 6,1403.43,0.28,-31.02,-57.75,-0.52,2.8
 10/ 10/ 6,2638.57,0.24,1.92,-1.81,0.23,2.8
 10/ 26/ 6,2623.45,0.24,1.92,3.56,-0.44,2.8
 11/ 11/ 6,2638.57,0.24,-1.92,1.81,0.23,2.8
 11/ 27/ 6,2623.45,0.24,-1.92,-3.56,-0.44,2.8
 12/ 12/ 6,1418.55,0.28,31.02,-29.12,0.26,2.8
 12/ 28/ 6,1403.43,0.28,31.02,57.75,-0.52,2.8
 13/ 13/ 6,798.96,-11.43,-18.37,17.2,-10.7,2.8
 13/ 29/ 6,783.84,-11.43,-18.37,-34.24,21.3,2.8
 14/ 14/ 6,1478.49,-19.42,1.27,-1.19,-18.23,2.8
 14/ 30/ 6,1463.37,-19.42,1.27,2.36,36.14,2.8
 15/ 15/ 6,1478.49,-19.42,-1.27,1.19,-18.23,2.8
 15/ 31/ 6,1463.37,-19.42,-1.27,-2.36,36.14,2.8
 16/ 16/ 6,798.96,-11.43,18.37,-17.2,-10.7,2.8
 16/ 32/ 6,783.84,-11.43,18.37,34.24,21.3,2.8
 17/ 17/ 6,642.2,21.99,-34.13,49,31.19,2.8
 17/ 33/ 6,627.08,21.99,-34.13,-46.56,-30.38,2.8
 18/ 18/ 6,1182.03,37.66,0.91,-2.02,53.28,2.8
 18/ 34/ 6,1166.91,37.66,0.91,0.52,-52.17,2.8
 19/ 19/ 6,1182.03,37.66,-0.91,2.02,53.28,2.8
 19/ 35/ 6,1166.91,37.66,-0.91,-0.52,-52.17,2.8
 20/ 20/ 6,642.2,21.99,34.13,-49,31.19,2.8
 20/ 36/ 6,627.08,21.99,34.13,46.56,-30.38,2.8
 21/ 21/ 6,1131.3,0.85,-58.05,83.13,0.54,2.8
 21/ 37/ 6,1116.18,0.85,-58.05,-79.4,-1.85,2.8
 22/ 22/ 6,2091.87,1.92,1.25,-2.93,1.59,2.8
 22/ 38/ 6,2076.75,1.92,1.25,0.55,-3.79,2.8
 23/ 23/ 6,2091.87,1.92,-1.25,2.93,1.59,2.8
 23/ 39/ 6,2076.75,1.92,-1.25,-0.55,-3.79,2.8
 24/ 24/ 6,1131.3,0.85,58.05,-83.13,0.54,2.8
 24/ 40/ 6,1116.18,0.85,58.05,79.4,-1.85,2.8
 25/ 25/ 6,1131.3,-0.85,-58.05,83.13,-0.54,2.8
 25/ 41/ 6,1116.18,-0.85,-58.05,-79.4,1.85,2.8
 26/ 26/ 6,2091.87,-1.92,1.25,-2.93,-1.59,2.8
 26/ 42/ 6,2076.75,-1.92,1.25,0.55,3.79,2.8
 27/ 27/ 6,2091.87,-1.92,-1.25,2.93,-1.59,2.8
 27/ 43/ 6,2076.75,-1.92,-1.25,-0.55,3.79,2.8
 28/ 28/ 6,1131.3,-0.85,58.05,-83.13,-0.54,2.8
 28/ 44/ 6,1116.18,-0.85,58.05,79.4,1.85,2.8
 29/ 29/ 6,642.2,-21.99,-34.13,49,-31.19,2.8
 29/ 45/ 6,627.08,-21.99,-34.13,-46.56,30.38,2.8
 30/ 30/ 6,1182.03,-37.66,0.91,-2.02,-53.28,2.8
 30/ 46/ 6,1166.91,-37.66,0.91,0.52,52.17,2.8
 31/ 31/ 6,1182.03,-37.66,-0.91,2.02,-53.28,2.8
 31/ 47/ 6,1166.91,-37.66,-0.91,-0.52,52.17,2.8
 32/ 32/ 6,642.2,-21.99,34.13,-49,-31.19,2.8
 32/ 48/ 6,627.08,-21.99,34.13,46.56,30.38,2.8
 33/ 33/ 6,479.74,22.55,-33.38,45.86,30.91,2.8
