"Bar/Node/Case,FX (kN),FY (kN),FZ (kN),MY (kNm),MZ (kNm),Length (m)"
" 1/ 1/ 6,798.96,11.43,-18.37,17.20,10.70,2.80"
" 1/ 1/ 7,522.96,7.25,-11.61,10.85,6.78,2.80"
" 1/ 17/ 6,783.84,11.43,-18.37,-34.24,-21.30,2.80"
" 1/ 17/ 7,511.76,7.25,-11.61,-21.64,-13.52,2.80"
" 2/ 2/ 6,1478.49,19.42,1.27,-1.19,18.23,2.80"
" 2/ 2/ 7,953.86,12.10,0.80,-0.75,11.34,2.80"
" 2/ 18/ 6,1463.37,19.42,1.27,2.36,-36.14,2.80"
" 2/ 18/ 7,942.66,12.10,0.80,1.48,-22.54,2.80"
" 3/ 3/ 6,1478.49,19.42,-1.27,1.19,18.23,2.80"
" 3/ 3/ 7,953.86,12.10,-0.80,0.75,11.34,2.80"
" 3/ 19/ 6,1463.37,19.42,-1.27,-2.36,-36.14,2.80"
" 3/ 19/ 7,942.66,12.10,-0.80,-1.48,-22.54,2.80"
" 4/ 4/ 6,798.96,11.43,18.37,-17.20,10.70,2.80"
" 4/ 4/ 7,522.96,7.25,11.61,-10.85,6.78,2.80"
" 4/ 20/ 6,783.84,11.43,18.37,34.24,-21.30,2.80"
" 4/ 20/ 7,511.76,7.25,11.61,21.64,-13.52,2.80"
" 5/ 5/ 6,1418.55,-0.28,-31.02,29.12,-0.26,2.80"
" 5/ 5/ 7,914.41,-0.18,-19.27,18.05,-0.17,2.80"
" 5/ 21/ 6,1403.43,-0.28,-31.02,-57.75,0.52,2.80"
" 5/ 21/ 7,903.21,-0.18,-19.27,-35.91,0.33,2.80"
" 6/ 6/ 6,2638.57,-0.24,1.92,-1.81,-0.23,2.80"
" 6/ 6/ 7,1677.04,-0.15,1.18,-1.11,-0.14,2.80"
" 6/ 22/ 6,2623.45,-0.24,1.92,3.56,0.44,2.80"
" 6/ 22/ 7,1665.84,-0.15,1.18,2.20,0.27,2.80"
" 7/ 7/ 6,2638.57,-0.24,-1.92,1.81,-0.23,2.80"
" 7/ 7/ 7,1677.04,-0.15,-1.18,1.11,-0.14,2.80"
" 7/ 23/ 6,2623.45,-0.24,-1.92,-3.56,0.44,2.80"
" 7/ 23/ 7,1665.84,-0.15,-1.18,-2.20,0.27,2.80"
" 8/ 8/ 6,1418.55,-0.28,31.02,-29.12,-0.26,2.80"
" 8/ 8/ 7,914.41,-0.18,19.27,-18.05,-0.17,2.80"
" 8/ 24/ 6,1403.43,-0.28,31.02,57.75,0.52,2.80"
" 8/ 24/ 7,903.21,-0.18,19.27,35.91,0.33,2.80"
" 9/ 9/ 6,1418.55,0.28,-31.02,29.12,0.26,2.80"
" 9/ 9/ 7,914.41,0.18,-19.27,18.05,0.17,2.80"
" 9/ 25/ 6,1403.43,0.28,-31.02,-57.75,-0.52,2.80"
" 9/ 25/ 7,903.21,0.18,-19.27,-35.91,-0.33,2.80"
" 10/ 10/ 6,2638.57,0.24,1.92,-1.81,0.23,2.80"
" 10/ 10/ 7,1677.04,0.15,1.18,-1.11,0.14,2.80"
" 10/ 26/ 6,2623.45,0.24,1.92,3.56,-0.44,2.80"
" 10/ 26/ 7,1665.84,0.15,1.18,2.20,-0.27,2.80"
" 11/ 11/ 6,2638.57,0.24,-1.92,1.81,0.23,2.80"
" 11/ 11/ 7,1677.04,0.15,-1.18,1.11,0.14,2.80"
" 11/ 27/ 6,2623.45,0.24,-1.92,-3.56,-0.44,2.80"
" 11/ 27/ 7,1665.84,0.15,-1.18,-2.20,-0.27,2.80"
" 12/ 12/ 6,1418.55,0.28,31.02,-29.12,0.26,2.80"
" 12/ 12/ 7,914.41,0.18,19.27,-18.05,0.17,2.80"
" 12/ 28/ 6,1403.43,0.28,31.02,57.75,-0.52,2.80"
" 12/ 28/ 7,903.21,0.18,19.27,35.91,-0.33,2.80"
" 13/ 13/ 6,798.96,-11.43,-18.37,17.20,-10.70,2.80"
