"Bar/Node/Case,FX (kN),FY (kN),FZ (kN),MY (kNm),MZ (kNm),Length (m)"
" 1/ 77/ 1,0.00,-0.00,-8.31,25.19,-0.00,1.000"
" 1/ 77/ 2,0.00,-0.00,-4.45,12.46,-0.00,1.000"
" 1/ 77/ 3,0.00,-0.00,-3.58,5.82,-0.00,1.000"
" 1/ 77/ 4,-0.00,-0.00,0.52,0.65,-0.00,1.000"
" 1/ 77/ 6,0.00,-0.00,-22.11,62.61,-0.00,1.000"
" 1/ 77/ 7,0.00,-0.00,-13.53,39.68,-0.00,1.000"
" 1/ 78/ 1,0.00,-0.00,-15.11,13.59,0.00,1.000"
" 1/ 78/ 2,0.00,-0.00,-7.68,6.48,0.00,1.000"
" 1/ 78/ 3,0.00,-0.00,-5.43,1.36,0.00,1.000"
" 1/ 78/ 4,-0.00,-0.00,0.52,1.17,0.00,1.000"
" 1/ 78/ 6,0.00,-0.00,-38.90,32.44,0.00,1.000"
" 1/ 78/ 7,0.00,-0.00,-24.11,21.06,0.00,1.000"
" 2/ 98/ 1,0.00,-0.00,4.18,14.75,-0.00,2.775"
" 2/ 98/ 2,0.00,-0.00,2.35,8.01,-0.00,2.775"
" 2/ 98/ 3,-0.00,-0.00,1.42,4.43,-0.00,2.775"
" 2/ 98/ 4,0.00,0.00,-0.04,0.07,0.00,2.775"
" 2/ 98/ 6,0.00,-0.00,11.32,38.75,-0.00,2.775"
" 2/ 98/ 7,0.00,-0.00,6.98,24.14,-0.00,2.775"
" 2/ 99/ 1,0.00,-0.00,-22.89,-14.46,0.00,2.775"
" 2/ 99/ 2,0.00,-0.00,-12.35,-8.14,0.00,2.775"
" 2/ 99/ 3,-0.00,-0.00,-6.98,-4.58,0.00,2.775"
" 2/ 99/ 4,0.00,0.00,-0.04,-0.03,-0.00,2.775"
" 2/ 99/ 6,0.00,-0.00,-59.87,-38.35,0.00,2.775"
" 2/ 99/ 7,0.00,-0.00,-37.31,-23.86,0.00,2.775"
" 3/ 92/ 1,-0.00,-0.00,9.76,-2.07,-0.00,3.725"
" 3/ 92/ 2,-0.00,-0.00,4.59,-1.16,-0.00,3.725"
" 3/ 92/ 3,-0.00,0.00,2.68,-0.82,0.00,3.725"
" 3/ 92/ 4,0.00,-0.00,-0.03,0.08,-0.00,3.725"
" 3/ 92/ 6,-0.00,-0.00,23.73,-4.97,-0.00,3.725"
" 3/ 92/ 7,-0.00,-0.00,15.02,-3.18,-0.00,3.725"
" 3/ 99/ 1,-0.00,-0.00,-14.60,-11.08,0.00,3.725"
