"Bar/Node/Case,FX (kN),FY (kN),FZ (kN),MY (kNm),MZ (kNm),Length (m)"
" 1/ 1/ 22 (C),507.46,5.25,-8.62,9.49,5.77,3.30"
" 1/ 1/ 23 (C),774.94,8.27,-13.66,15.03,9.10,3.30"
" 1/ 1/ 24 (C),-263.66,-126.36,167.63,-350.18,-257.04,3.30"
" 1/ 1/ 25 (C),1303.76,179.98,-149.48,298.43,354.15,3.30"
" 1/ 1/ 26 (C),578.98,179.98,167.63,-350.18,354.15,3.30"
" 1/ 1/ 27 (C),461.11,-126.36,-149.48,298.43,-257.04,3.30"
" 1/ 1/ 28 (C),-306.20,-169.74,132.67,-279.94,-342.89,3.30"
" 1/ 1/ 29 (C),1261.21,136.60,-184.44,368.67,268.30,3.30"
" 1/ 1/ 30 (C),536.44,136.60,132.67,-279.94,268.30,3.30"
" 1/ 1/ 31 (C),418.57,-169.74,-184.44,368.67,-342.89,3.30"
" 1/ 1/ 32 (C),148.34,-55.32,72.51,-155.96,-115.10,3.30"
" 1/ 1/ 33 (C),868.77,85.49,-73.25,142.16,165.82,3.30"
" 1/ 1/ 34 (C),535.64,85.49,72.51,-155.96,165.82,3.30"
" 1/ 1/ 35 (C),481.47,-55.32,-73.25,142.16,-115.10,3.30"
" 1/ 1/ 36 (C),128.78,-75.25,56.44,-123.67,-154.56,3.30"
" 1/ 1/ 37 (C),849.22,65.55,-89.31,174.44,126.36,3.30"
" 1/ 1/ 38 (C),516.09,65.55,56.44,-123.67,126.36,3.30"
" 1/ 1/ 39 (C),461.91,-75.25,-89.31,174.44,-154.56,3.30"
" 1/ 1/ 40 (C),496.68,5.12,-8.40,9.24,5.63,3.30"
" 1/ 17/ 22 (C),494.50,5.25,-8.62,-18.97,-11.55,3.30"
" 1/ 17/ 23 (C),757.45,8.27,-13.66,-30.06,-18.20,3.30"
" 1/ 17/ 24 (C),-276.61,-126.36,167.63,203.01,159.97,3.30"
" 1/ 17/ 25 (C),1290.80,179.98,-149.48,-194.86,-239.78,3.30"
" 1/ 17/ 26 (C),566.03,179.98,167.63,203.01,-239.78,3.30"
" 1/ 17/ 27 (C),448.16,-126.36,-149.48,-194.86,159.97,3.30"
" 1/ 17/ 28 (C),-319.15,-169.74,132.67,157.88,217.26,3.30"
" 1/ 17/ 29 (C),1248.26,136.60,-184.44,-239.98,-182.49,3.30"
" 1/ 17/ 30 (C),523.49,136.60,132.67,157.88,-182.49,3.30"
" 1/ 17/ 31 (C),405.62,-169.74,-184.44,-239.98,217.26,3.30"
" 1/ 17/ 32 (C),135.39,-55.32,72.51,83.32,67.44,3.30"
" 1/ 17/ 33 (C),855.82,85.49,-73.25,-99.55,-116.29,3.30"
" 1/ 17/ 34 (C),522.69,85.49,72.51,83.32,-116.29,3.30"
" 1/ 17/ 35 (C),468.51,-55.32,-73.25,-99.55,67.44,3.30"
" 1/ 17/ 36 (C),115.83,-75.25,56.44,62.58,93.77,3.30"
" 1/ 17/ 37 (C),836.26,65.55,-89.31,-120.29,-89.96,3.30"
" 1/ 17/ 38 (C),503.14,65.55,56.44,62.58,-89.96,3.30"
" 1/ 17/ 39 (C),448.96,-75.25,-89.31,-120.29,93.77,3.30"
" 1/ 17/ 40 (C),483.73,5.12,-8.40,-18.48,-11.25,3.30"
" 2/ 2/ 22 (C),941.51,8.73,0.85,-0.94,9.61,3.30"
" 2/ 2/ 23 (C),1459.42,14.02,1.35,-1.49,15.42,3.30"
" 2/ 2/ 24 (C),583.34,-137.57,219.50,-407.24,-282.08,3.30"
" 2/ 2/ 25 (C),1313.13,168.77,-175.27,326.79,329.11,3.30"
" 2/ 2/ 26 (C),1425.98,168.77,219.50,-407.24,329.11,3.30"
