"Bar/Node/Case,FX (kN),FY (kN),FZ (kN),MY (kNm),MZ (kNm),Length (m)"
" 1/ 1/ 22 (C),504.60,6.81,-11.21,10.47,6.35,2.80"
" 1/ 1/ 23 (C),770.87,10.73,-17.76,16.58,10.02,2.80"
" 1/ 1/ 24 (C),-401.54,-135.09,210.64,-394.03,-245.64,2.80"
" 1/ 1/ 25 (C),1443.61,199.58,-191.52,341.11,347.91,2.80"
" 1/ 1/ 26 (C),522.00,199.58,210.64,-394.03,347.91,2.80"
" 1/ 1/ 27 (C),520.07,-135.09,-191.52,341.11,-245.64,2.80"
" 1/ 1/ 28 (C),-451.74,-186.30,169.66,-320.71,-335.52,2.80"
" 1/ 1/ 29 (C),1393.41,148.37,-232.49,414.42,258.04,2.80"
" 1/ 1/ 30 (C),471.80,148.37,169.66,-320.71,258.04,2.80"
" 1/ 1/ 31 (C),469.87,-186.30,-232.49,414.42,-335.52,2.80"
" 1/ 1/ 32 (C),83.43,-58.51,90.91,-175.59,-109.56,2.80"
" 1/ 1/ 33 (C),931.52,95.32,-93.93,162.29,163.26,2.80"
" 1/ 1/ 34 (C),507.92,95.32,90.91,-175.59,163.26,2.80"
" 1/ 1/ 35 (C),507.03,-58.51,-93.93,162.29,-109.56,2.80"
" 1/ 1/ 36 (C),60.35,-82.04,72.08,-141.90,-150.87,2.80"
" 1/ 1/ 37 (C),908.44,71.78,-112.76,195.99,121.95,2.80"
" 1/ 1/ 38 (C),484.84,71.78,72.08,-141.90,121.95,2.80"
" 1/ 1/ 39 (C),483.95,-82.04,-112.76,195.99,-150.87,2.80"
" 1/ 17/ 22 (C),493.61,6.81,-11.21,-20.93,-12.71,2.80"
" 1/ 17/ 23 (C),756.03,10.73,-17.76,-33.16,-20.03,2.80"
" 1/ 17/ 24 (C),-412.53,-135.09,210.64,195.76,132.62,2.80"
" 1/ 17/ 25 (C),1432.62,199.58,-191.52,-195.14,-210.90,2.80"
" 1/ 17/ 26 (C),511.01,199.58,210.64,195.76,-210.90,2.80"
" 1/ 17/ 27 (C),509.08,-135.09,-191.52,-195.14,132.62,2.80"
" 1/ 17/ 28 (C),-462.73,-186.30,169.66,154.34,186.11,2.80"
" 1/ 17/ 29 (C),1382.42,148.37,-232.49,-236.55,-157.40,2.80"
" 1/ 17/ 30 (C),460.81,148.37,169.66,154.34,-157.40,2.80"
" 1/ 17/ 31 (C),458.88,-186.30,-232.49,-236.55,186.11,2.80"
" 1/ 17/ 32 (C),72.44,-58.51,90.91,78.95,54.26,2.80"
" 1/ 17/ 33 (C),920.53,95.32,-93.93,-100.71,-103.63,2.80"
" 1/ 17/ 34 (C),496.93,95.32,90.91,78.95,-103.63,2.80"
" 1/ 17/ 35 (C),496.04,-58.51,-93.93,-100.71,54.26,2.80"
" 1/ 17/ 36 (C),49.36,-82.04,72.08,59.92,78.85,2.80"
" 1/ 17/ 37 (C),897.45,71.78,-112.76,-119.75,-79.05,2.80"
" 1/ 17/ 38 (C),473.85,71.78,72.08,59.92,-79.05,2.80"
" 1/ 17/ 39 (C),472.96,-82.04,-112.76,-119.75,78.85,2.80"
" 2/ 2/ 22 (C),938.71,11.35,1.09,-1.01,10.60,2.80"
" 2/ 2/ 23 (C),1455.40,18.23,1.72,-1.61,17.01,2.80"
" 2/ 2/ 24 (C),559.13,-147.93,287.49,-465.76,-271.65,2.80"
" 2/ 2/ 25 (C),1340.42,186.74,-233.60,380.39,321.90,2.80"
" 2/ 2/ 26 (C),1482.67,186.74,287.49,-465.76,321.90,2.80"
" 2/ 2/ 27 (C),416.88,-147.93,-233.60,380.39,-271.65,2.80"
" 2/ 2/ 28 (C),500.83,-164.67,235.71,-382.36,-301.30,2.80"
" 2/ 2/ 29 (C),1282.12,170.00,-285.38,463.78,292.26,2.80"
" 2/ 2/ 30 (C),1424.37,170.00,235.71,-382.36,292.26,2.80"
" 2/ 2/ 31 (C),358.58,-164.67,-285.38,463.78,-301.30,2.80"
" 2/ 2/ 32 (C),754.47,-62.03,132.71,-214.61,-119.30,2.80"
" 2/ 2/ 33 (C),1113.58,91.79,-106.80,174.30,153.52,2.80"
" 2/ 2/ 34 (C),1178.96,91.79,132.71,-214.61,153.52,2.80"
" 2/ 2/ 35 (C),689.09,-62.03,-106.80,174.30,-119.30,2.80"
" 2/ 2/ 36 (C),727.67,-69.72,108.91,-176.28,-132.92,2.80"
" 2/ 2/ 37 (C),1086.78,84.10,-130.60,212.63,139.90,2.80"
" 2/ 2/ 38 (C),1152.16,84.10,108.91,-176.28,139.90,2.80"
" 2/ 2/ 39 (C),662.29,-69.72,-130.60,212.63,-132.92,2.80"
