"Bar/Node/Case,FX (kN),FY (kN),FZ (kN),MY (kNm),MZ (kNm),Length (m)"
" 1/ 1/ 22 (C),429.19,5.09,-8.52,9.37,5.60,3.30"
" 1/ 1/ 23 (C),669.60,8.22,-13.79,15.17,9.04,3.30"
" 1/ 1/ 24 (C),234.02,-12.88,16.53,-57.73,-40.79,3.30"
" 1/ 1/ 25 (C),617.28,30.74,-26.71,60.08,71.04,3.30"
" 1/ 1/ 26 (C),444.61,30.75,16.54,-57.74,71.06,3.30"
" 1/ 1/ 27 (C),406.70,-12.89,-26.71,60.09,-40.80,3.30"
" 1/ 1/ 28 (C),223.72,-20.85,10.18,-41.90,-60.17,3.30"
" 1/ 1/ 29 (C),606.97,22.77,-33.06,75.92,51.66,3.30"
" 1/ 1/ 30 (C),434.30,22.78,10.18,-41.90,51.68,3.30"
" 1/ 1/ 31 (C),396.39,-20.86,-33.07,75.92,-60.18,3.30"
" 1/ 1/ 32 (C),317.43,-4.51,5.92,-29.15,-19.09,3.30"
" 1/ 1/ 33 (C),529.23,18.78,-18.96,38.63,40.63,3.30"
" 1/ 1/ 34 (C),429.89,18.79,5.92,-29.16,40.63,3.30"
" 1/ 1/ 35 (C),416.78,-4.52,-18.96,38.63,-19.10,3.30"
" 1/ 1/ 36 (C),311.77,-8.89,2.43,-20.45,-29.75,3.30"
" 1/ 1/ 37 (C),523.56,14.40,-22.45,47.34,29.97,3.30"
" 1/ 1/ 38 (C),424.22,14.41,2.43,-20.45,29.98,3.30"
" 1/ 1/ 39 (C),411.11,-8.90,-22.45,47.34,-29.76,3.30"
" 1/ 1/ 40 (C),418.37,4.94,-8.26,9.09,5.44,3.30"
" 1/ 17/ 22 (C),419.28,5.09,-8.52,-18.74,-11.20,3.30"
" 1/ 17/ 23 (C),656.22,8.22,-13.79,-30.34,-18.07,3.30"
" 1/ 17/ 24 (C),224.11,-12.88,16.53,-3.18,1.72,3.30"
" 1/ 17/ 25 (C),607.36,30.74,-26.71,-28.05,-30.39,3.30"
" 1/ 17/ 26 (C),434.69,30.75,16.54,-3.17,-30.41,3.30"
" 1/ 17/ 27 (C),396.78,-12.89,-26.71,-28.07,1.75,3.30"
" 1/ 17/ 28 (C),213.80,-20.85,10.18,-8.31,8.63,3.30"
" 1/ 17/ 29 (C),597.06,22.77,-33.06,-33.18,-23.48,3.30"
" 1/ 17/ 30 (C),424.38,22.78,10.18,-8.30,-23.51,3.30"
" 1/ 17/ 31 (C),386.47,-20.86,-33.07,-33.20,8.66,3.30"
" 1/ 17/ 32 (C),307.52,-4.51,5.92,-9.62,-4.21,3.30"
" 1/ 17/ 33 (C),519.31,18.78,-18.96,-23.93,-21.35,3.30"
" 1/ 17/ 34 (C),419.97,18.79,5.92,-9.61,-21.37,3.30"
" 1/ 17/ 35 (C),406.86,-4.52,-18.96,-23.93,-4.19,3.30"
" 1/ 17/ 36 (C),301.85,-8.89,2.43,-12.44,-0.41,3.30"
" 1/ 17/ 37 (C),513.65,14.40,-22.45,-26.75,-17.55,3.30"
" 1/ 17/ 38 (C),414.30,14.41,2.43,-12.43,-17.57,3.30"
" 1/ 17/ 39 (C),401.20,-8.90,-22.45,-26.76,-0.39,3.30"
" 1/ 17/ 40 (C),408.45,4.94,-8.26,-18.18,-10.88,3.30"
" 2/ 2/ 22 (C),845.60,10.36,0.03,-0.03,11.40,3.30"
" 2/ 2/ 23 (C),1329.75,16.81,0.19,-0.21,18.49,3.30"
" 2/ 2/ 24 (C),678.91,-41.80,71.77,-187.02,-128.39,3.30"
" 2/ 2/ 25 (C),986.74,68.76,-53.71,142.97,167.71,3.30"
" 2/ 2/ 26 (C),962.46,68.76,71.78,-187.03,167.71,3.30"
" 2/ 2/ 27 (C),703.19,-41.81,-53.71,142.98,-128.39,3.30"
" 2/ 2/ 28 (C),668.22,-48.65,53.73,-143.00,-145.59,3.30"
" 2/ 2/ 29 (C),976.04,61.91,-71.75,187.00,150.51,3.30"
" 2/ 2/ 30 (C),951.77,61.92,53.74,-143.01,150.51,3.30"
" 2/ 2/ 31 (C),692.49,-48.66,-71.75,187.00,-145.60,3.30"
" 2/ 2/ 32 (C),747.73,-17.59,41.07,-107.05,-63.27,3.30"
" 2/ 2/ 33 (C),913.11,41.46,-31.12,82.81,94.85,3.30"
" 2/ 2/ 34 (C),899.14,41.46,41.07,-107.05,94.85,3.30"
" 2/ 2/ 35 (C),761.69,-17.59,-31.13,82.81,-63.27,3.30"
" 2/ 2/ 36 (C),741.85,-21.35,31.15,-82.84,-72.73,3.30"
" 2/ 2/ 37 (C),907.23,37.69,-41.04,107.02,85.39,3.30"
" 2/ 2/ 38 (C),893.26,37.69,31.15,-82.84,85.39,3.30"
" 2/ 2/ 39 (C),755.81,-21.35,-41.05,107.02,-72.73,3.30"
" 2/ 2/ 40 (C),823.01,10.05,0.01,-0.01,11.05,3.30"
" 2/ 18/ 22 (C),829.21,10.36,0.03,0.06,-22.80,3.30"
" 2/ 18/ 23 (C),1307.62,16.81,0.19,0.42,-36.98,3.30"
" 2/ 18/ 24 (C),662.52,-41.80,71.77,49.83,9.57,3.30"
" 2/ 18/ 25 (C),970.34,68.76,-53.71,-34.26,-59.19,3.30"
" 2/ 18/ 26 (C),946.07,68.76,71.78,49.85,-59.20,3.30"
" 2/ 18/ 27 (C),686.79,-41.81,-53.71,-34.27,9.58,3.30"
" 2/ 18/ 28 (C),651.83,-48.65,53.73,34.32,14.96,3.30"
" 2/ 18/ 29 (C),959.65,61.91,-71.75,-49.77,-53.80,3.30"
" 2/ 18/ 30 (C),935.38,61.92,53.74,34.33,-53.81,3.30"
" 2/ 18/ 31 (C),676.10,-48.66,-71.75,-49.79,14.97,3.30"
" 2/ 18/ 32 (C),731.33,-17.59,41.07,28.49,-5.24,3.30"
" 2/ 18/ 33 (C),896.72,41.46,-31.12,-19.90,-41.96,3.30"
" 2/ 18/ 34 (C),882.75,41.46,41.07,28.49,-41.96,3.30"
" 2/ 18/ 35 (C),745.30,-17.59,-31.13,-19.90,-5.23,3.30"
" 2/ 18/ 36 (C),725.45,-21.35,31.15,19.96,-2.28,3.30"
" 2/ 18/ 37 (C),890.84,37.69,-41.04,-28.43,-38.99,3.30"
" 2/ 18/ 38 (C),876.87,37.69,31.15,19.96,-39.00,3.30"
" 2/ 18/ 39 (C),739.42,-21.35,-41.05,-28.43,-2.27,3.30"
" 2/ 18/ 40 (C),806.61,10.05,0.01,0.03,-22.11,3.30"
" 3/ 3/ 22 (C),845.60,10.36,-0.03,0.03,11.40,3.30"
" 3/ 3/ 23 (C),1329.75,16.81,-0.19,0.21,18.49,3.30"
" 3/ 3/ 24 (C),692.49,-48.66,71.75,-187.00,-145.60,3.30"
" 3/ 3/ 25 (C),951.77,61.92,-53.74,143.01,150.51,3.30"
" 3/ 3/ 26 (C),976.04,61.91,71.75,-187.00,150.51,3.30"
" 3/ 3/ 27 (C),668.22,-48.65,-53.73,143.00,-145.59,3.30"
" 3/ 3/ 28 (C),703.19,-41.81,53.71,-142.98,-128.39,3.30"
" 3/ 3/ 29 (C),962.46,68.76,-71.78,187.03,167.71,3.30"
" 3/ 3/ 30 (C),986.74,68.76,53.71,-142.97,167.71,3.30"
" 3/ 3/ 31 (C),678.91,-41.80,-71.77,187.02,-128.39,3.30"
" 3/ 3/ 32 (C),755.81,-21.35,41.05,-107.02,-72.73,3.30"
