0,0,0,0,,,,,,,suf,,,,,double
0,0,0.36,1,,0.89,,,0,0.36,1,,,0,0.36,0.89
0,0,0.66,2,,,,,0,0.66,2,,,,,
0.2,0,0.08,0,,0.001,,,0.2,0.08,0,,,0.2,0.08,0.001
0.2,0,0.38,1,,0.753,,,0.2,0.38,1,,,0.2,0.38,0.753
0.2,0,0.68,2,,,,,0.2,0.68,2,,,,,
0.4,0,0.11,0,,0,,,0.4,0.11,0,,,0.4,0.11,0
0.4,0,0.39,1,,0.681,,,0.4,0.39,1,,,0.4,0.39,0.681
0.4,0,0.68,2,,,,,0.4,0.68,2,,,,,
0.6,0,0.11,0,,0,,,0.6,0.11,0,,,0.6,0.11,0
0.6,0,0.38,1,,0.746,,,0.6,0.38,1,,,0.6,0.38,0.746
0.6,0,0.66,2,,,,,0.6,0.66,2,,,,,
0.8,0,0.1,0.1,,0.083,,,0.8,0.1,0.1,,,0.8,0.1,0.083
0.8,0,0.33,1,,0.752,,,0.8,0.33,1,,,0.8,0.33,0.752
0.8,0,0.61,2,,,,,0.8,0.61,2,,,,,
1,0,0.07,0.2,,0.188,,,1,0.07,0.2,,,1,0.07,0.188
1,0,0.3,1,,0.081,,,1,0.3,1,,,1,0.3,0.081
1,0,0.58,2,,1.586,,,1,0.58,2,,,1,0.58,1.586
1.2,0,0.03,0.3,,0.278,,,1.2,0.03,0.3,,,1.2,0.03,0.278
1.2,0,0.25,1,,0.86,,,1.2,0.25,1,,,1.2,0.25,0.86
1.2,0,0.53,2,,1.625,,,1.2,0.53,2,,,1.2,0.53,1.625
1.4,0,0.03,0.5,,0.476,,,1.4,0.03,0.5,,,1.4,0.03,0.476
1.4,0,0.2,1,,0.917,,,1.4,0.2,1,,,1.4,0.2,0.917
1.4,0,0.49,2,,1.694,,,1.4,0.49,2,,,1.4,0.49,1.694
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,b,0.35,,2050,,,,,,
,,,,,,h,0.35,,300,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,C,25/30,S,500,C,25/30,S,400,,,
,,,,,fck,25,fyk,500,fck,25,fyk,400,,,
,,,,,fcd,16.66666667,fyd,434.7826087,fcd,16.66666667,fyd,347.826087,,,
,,,,,v,1.004081633,u,0.419825073,v,1.004081633,u,0.419825073,,,
,,,,,,,,,,,,,,,
,,,,,w,1.158,,,w,1.147,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
