m17,11.42 11.42 11.42 0.00 0.00 0.00,None,,m17,m17,17,-,-,-1e20   1e20
m18,22.8 22.8 22.8 0.00 0.00 0.00,None,,m18,m18,18,-,-,-1e20   1e20
m19,22.8 22.8 22.8 0.00 0.00 0.00,None,,m19,m19,19,-,-,-1e20   1e20
m20,11.42 11.42 11.42 0.00 0.00 0.00,None,,m20,m20,20,-,-,-1e20   1e20
m21,22.68 22.68 22.68 0.00 0.00 0.00,None,,m21,m21,21,-,-,-1e20   1e20
m22,44.15 44.15 44.15 0.00 0.00 0.00,None,,m22,m22,22,-,-,-1e20   1e20
m23,44.15 44.15 44.15 0.00 0.00 0.00,None,,m23,m23,23,-,-,-1e20   1e20
m24,22.68 22.68 22.68 0.00 0.00 0.00,None,,m24,m24,24,-,-,-1e20   1e20
m25,22.68 22.68 22.68 0.00 0.00 0.00,None,,m25,m25,25,-,-,-1e20   1e20
m26,44.15 44.15 44.15 0.00 0.00 0.00,None,,m26,m26,26,-,-,-1e20   1e20
m27,44.15 44.15 44.15 0.00 0.00 0.00,None,,m27,m27,27,-,-,-1e20   1e20
m28,22.68 22.68 22.68 0.00 0.00 0.00,None,,m28,m28,28,-,-,-1e20   1e20
m29,11.42 11.42 11.42 0.00 0.00 0.00,None,,m29,m29,29,-,-,-1e20   1e20
m30,22.8 22.8 22.8 0.00 0.00 0.00,None,,m30,m30,30,-,-,-1e20   1e20
m31,22.8 22.8 22.8 0.00 0.00 0.00,None,,m31,m31,31,-,-,-1e20   1e20
m32,11.42 11.42 11.42 0.00 0.00 0.00,None,,m32,m32,32,-,-,-1e20   1e20
m33,11.63 11.63 11.63 0.00 0.00 0.00,None,,m33,m33,33,-,-,-1e20   1e20
m34,23.13 23.13 23.13 0.00 0.00 0.00,None,,m34,m34,34,-,-,-1e20   1e20
m35,23.13 23.13 23.13 0.00 0.00 0.00,None,,m35,m35,35,-,-,-1e20   1e20
m36,11.63 11.63 11.63 0.00 0.00 0.00,None,,m36,m36,36,-,-,-1e20   1e20
m37,22.87 22.87 22.87 0.00 0.00 0.00,None,,m37,m37,37,-,-,-1e20   1e20
m38,44.83 44.83 44.83 0.00 0.00 0.00,None,,m38,m38,38,-,-,-1e20   1e20
m39,44.83 44.83 44.83 0.00 0.00 0.00,None,,m39,m39,39,-,-,-1e20   1e20
m40,22.87 22.87 22.87 0.00 0.00 0.00,None,,m40,m40,40,-,-,-1e20   1e20
m41,22.87 22.87 22.87 0.00 0.00 0.00,None,,m41,m41,41,-,-,-1e20   1e20
m42,44.83 44.83 44.83 0.00 0.00 0.00,None,,m42,m42,42,-,-,-1e20   1e20
m43,44.83 44.83 44.83 0.00 0.00 0.00,None,,m43,m43,43,-,-,-1e20   1e20
m44,22.87 22.87 22.87 0.00 0.00 0.00,None,,m44,m44,44,-,-,-1e20   1e20
