elemConnectivity1,elemConnectivity2,elemConnectivity3,elemConnectivity4,elemConnectivity5,elemConnectivity6
1,Beam2,77   78   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
2,Beam2,98   99   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
3,Beam2,92   99   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
4,Col1,66   99   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
5,Beam2,97   98   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
6,Beam2,91   98   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
7,Beam2,96   97   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
8,Col5,64   97   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
9,Beam2,95   96   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
10,Beam2,90   96   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
11,Col1,63   96   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
12,Beam4,94   95   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
13,Col5,62   95   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
14,Beam4,93   94   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
15,Beam2,89   94   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
16,Beam2,88   93   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
17,Col1,60   93   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
18,Beam2,91   92   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
19,Col1,59   92   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
20,Beam2,90   91   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
21,Col1,58   91   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
22,Beam2,89   90   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
23,Col1,57   90   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
24,Beam2,88   89   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
25,Col1,56   89   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
26,Col1,55   88   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
27,Beam2,86   87   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
28,Beam2,79   87   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
29,Col1,54   87   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
30,Beam2,85   86   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
31,Beam2,77   86   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
32,Col2,53   86   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
33,Beam2,84   85   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
34,Beam6,76   85   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
35,Beam5,83   84   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
36,Col1,51   84   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
37,Beam2,82   83   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
38,Col6,50   83   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
39,Beam2,81   82   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
40,Beam2,73   82   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
41,Beam2,80   81   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
42,Beam2,68   81   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
43,Col4,48   81   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
44,Beam2,67   80   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
45,Col1,47   80   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
46,Beam2,78   79   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
47,Beam2,72   79   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
48,Col2,46   79   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
49,Beam2,71   78   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
50,Col3,45   78   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
51,Beam2,76   77   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
52,Beam6,74   76   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
53,Beam5,74   75   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
54,Beam5,70   75   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
55,Col6,42   75   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
56,Beam5,73   74   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
57,Beam5,69   73   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
58,Col2,40   73   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
59,Beam5,71   72   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
60,Beam2,66   72   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
61,Col1,39   72   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
62,Beam5,70   71   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
63,Beam5,64   70   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
64,Beam2,68   69   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
65,Beam5,62   69   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
66,Beam2,67   68   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
67,Col2,34   68   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
