nodesSeismo1,nodesSeismo2,nodesSeismo3,nodesSeismo4,nodesSeismo5
1,0,0,0,structural
2,5.025,0,0,structural
3,7.375,0,0,structural
4,11.225,0,0,structural
5,14,0,0,structural
6,0,3.725,0,structural
7,5.025,3.725,0,structural
8,7.375,3.725,0,structural
9,9.875,3.725,0,structural
10,14,3.725,0,structural
11,0,5.375,0,structural
12,14,5.375,0,structural
13,5.025,7,0,structural
14,9.875,7,0,structural
15,14,8.175,0,structural
16,0,9.7,0,structural
17,6.25,9.7,0,structural
18,6.25,11.7,0,structural
19,14,11.7,0,structural
20,0,0,3.05,structural
21,3.675,0,3.05,structural
22,5.025,0,3.05,structural
23,7.375,0,3.05,structural
24,11.225,0,3.05,structural
25,14,0,3.05,structural
26,0,3.725,3.05,structural
27,3.675,3.725,3.05,structural
28,5.025,3.725,3.05,structural
29,7.375,3.725,3.05,structural
30,9.875,3.725,3.05,structural
31,11.225,3.725,3.05,structural
32,14,3.725,3.05,structural
33,0,5.375,3.05,structural
34,2.675,5.375,3.05,structural
35,5.025,5.375,3.05,structural
36,14,5.325,3.05,structural
37,9.875,5.725,3.05,structural
38,11.225,5.725,3.05,structural
39,14,5.725,3.05,structural
40,5.025,7,3.05,structural
41,8.075,7,3.05,structural
42,9.875,7,3.05,structural
43,8.075,8.175,3.05,structural
44,10.225,8.175,3.05,structural
45,11.225,8.175,3.05,structural
46,14,8.175,3.05,structural
47,0,9.7,3.05,structural
48,2.675,9.7,3.05,structural
49,5.025,9.7,3.05,structural
50,6.25,9.7,3.05,structural
51,6.25,11.7,3.05,structural
52,8.075,11.7,3.05,structural
53,10.225,11.7,3.05,structural
54,14,11.7,3.05,structural
55,0,0,5.85,structural
56,3.675,0,5.85,structural
57,7.375,0,5.85,structural
58,11.225,0,5.85,structural
59,14,0,5.85,structural
60,0,3.725,5.85,structural
61,3.675,3.725,5.85,structural
62,5.025,3.725,5.85,structural
63,7.375,3.725,5.85,structural
64,9.875,3.725,5.85,structural
65,11.225,3.725,5.85,structural
66,14,3.725,5.85,structural
67,0,5.375,5.85,structural
68,2.675,5.375,5.85,structural
69,5.025,5.375,5.85,structural
70,9.875,5.725,5.85,structural
71,11.225,5.725,5.85,structural
72,14,5.725,5.85,structural
73,5.025,7,5.85,structural
74,8.075,7,5.85,structural
75,9.875,7,5.85,structural
76,8.075,8.175,5.85,structural
77,10.225,8.175,5.85,structural
78,11.225,8.175,5.85,structural
79,14,8.175,5.85,structural
80,0,9.7,5.85,structural
81,2.675,9.7,5.85,structural
82,5.025,9.7,5.85,structural
83,6.25,9.7,5.85,structural
84,6.25,11.7,5.85,structural
85,8.075,11.7,5.85,structural
86,10.225,11.7,5.85,structural
87,14,11.7,5.85,structural
